system:time_start,1 Month(s) Precipitation Sum
"Sep 1, 2013",55.57
"Oct 1, 2013",157.403
"Nov 1, 2013",290.413
"Dec 1, 2013",614.254
"Jan 1, 2014",416.515
"Feb 1, 2014",353.998
"Mar 1, 2014",330.394
"Apr 1, 2014",381.59
"May 1, 2014",223.613
"Jun 1, 2014",116.992
"Jul 1, 2014",167.197
"Aug 1, 2014",26.67
"Sep 1, 2014",14.4
"Oct 1, 2014",48.716
"Nov 1, 2014",396.707
"Dec 1, 2014",457.704
"Jan 1, 2015",243.981
"Feb 1, 2015",382.38
"Mar 1, 2015",305.144
"Apr 1, 2015",255.538
"May 1, 2015",118.266
"Jun 1, 2015",21.254
"Jul 1, 2015",17.239
"Aug 1, 2015",19.568
"Sep 1, 2015",18.773
"Oct 1, 2015",29.571
"Nov 1, 2015",282.543
"Dec 1, 2015",371.832
"Jan 1, 2016",186.301
"Feb 1, 2016",340.194
"Mar 1, 2016",368.219
"Apr 1, 2016",328.531
"May 1, 2016",298.726
"Jun 1, 2016",208.535
"Jul 1, 2016",199.429
"Aug 1, 2016",141.121
"Sep 1, 2016",395.963
"Oct 1, 2016",374.552
"Nov 1, 2016",873.62
"Dec 1, 2016",236.389
"Jan 1, 2017",260.856
"Feb 1, 2017",243.37
"Mar 1, 2017",319.955
"Apr 1, 2017",407.067
"May 1, 2017",276.237
"Jun 1, 2017",153.47
"Jul 1, 2017",64.868
"Aug 1, 2017",29.669
"Sep 1, 2017",83.724
"Oct 1, 2017",300.236
"Nov 1, 2017",643.108
"Dec 1, 2017",359.376
"Jan 1, 2018",202.781
"Feb 1, 2018",335.786
"Mar 1, 2018",343.115
"Apr 1, 2018",260.096
"May 1, 2018",165.394
"Jun 1, 2018",60.417
"Jul 1, 2018",13.88
"Aug 1, 2018",19.13
"Sep 1, 2018",42.076
"Oct 1, 2018",85.562
"Nov 1, 2018",444.682
"Dec 1, 2018",321.287
"Jan 1, 2019",224.474
"Feb 1, 2019",314.876
"Mar 1, 2019",344.181
"Apr 1, 2019",333.304
"May 1, 2019",140.108
"Jun 1, 2019",50.854
"Jul 1, 2019",19.393
"Aug 1, 2019",16.67
"Sep 1, 2019",11.616
"Oct 1, 2019",36.559
"Nov 1, 2019",210.637
"Dec 1, 2019",417.79
"Jan 1, 2020",235.79
"Feb 1, 2020",342.236
"Mar 1, 2020",350.876
"Apr 1, 2020",297.159
"May 1, 2020",382.555
"Jun 1, 2020",53.687
"Jul 1, 2020",88.41
"Aug 1, 2020",65.6
"Sep 1, 2020",124.854
"Oct 1, 2020",294.969
"Nov 1, 2020",366.118
"Dec 1, 2020",394.805
"Jan 1, 2021",262.523
"Feb 1, 2021",376.615
"Mar 1, 2021",268.268
"Apr 1, 2021",264.885
"May 1, 2021",262.088
"Jun 1, 2021",120.454
"Jul 1, 2021",42.097
"Aug 1, 2021",98.476
"Sep 1, 2021",136.532
"Oct 1, 2021",340.717
"Nov 1, 2021",734.286
"Dec 1, 2021",348.346
"Jan 1, 2022",206.508
"Feb 1, 2022",238.131
"Mar 1, 2022",379.51
"Apr 1, 2022",415.728
"May 1, 2022",347.711
"Jun 1, 2022",116.693
"Jul 1, 2022",148.771
"Aug 1, 2022",95.515
"Sep 1, 2022",217.416
"Oct 1, 2022",392.081
"Nov 1, 2022",637.663
"Dec 1, 2022",309.338
"Jan 1, 2023",202.846
"Feb 1, 2023",335.221
"Mar 1, 2023",285.944
"Apr 1, 2023",410.17
"May 1, 2023",166.963
"Jun 1, 2023",68.763
